"NUM_ELE","VALIDITE","NUM_GRP","SESSIONS","POIDS_RELATIF","LIEN_OBLIG","NUM_ORDRE","VALIDITE_GRP","NIVEAU","TYPE_LIEN","COMMENTAIRE_ANGL"
"34014","2012","34617","","0","1","1","2012","","",""
"34014","2012","34620","","0","1","2","2012","","",""
"34014","2012","214060","","0","1","0","2012","","3",""
"34014","2012","214072","","0","1","0","2012","","3",""
"34022","2012","34669","","30","0","1","2012","","",""
"34022","2012","202986","","0","1","0","2012","","3",""
"34022","2012","202996","","0","1","0","2012","","3",""
"34022","2012","204524","","0","0","3","2012","","",""
"34024","2012","34615","","0","1","1","2012","","",""
"34024","2012","80928","","0","1","2","2012","","",""
"34024","2012","214084","","0","1","0","2012","","3",""
"34024","2012","214092","","0","1","0","2012","","3",""
"34615","2012","32772","","5","1","4","2012","23","",""
"34615","2012","73526","","0","1","5","2012","","",""
"34617","2012","34618","","0","1","1","2012","","",""
"34617","2012","34619","","0","1","2","2012","","",""
"34617","2012","34681","","0","1","3","2012","","",""
"34618","2012","32173","","5","1","1","2012","23","",""
"34618","2012","32174","","5","1","2","2012","23","",""
"34619","2012","32171","","5","1","2","2012","23","",""
"34620","2012","30540","","4","0","10","2012","23","",""
"34620","2012","32166","","5","0","7","2012","23","",""
"34620","2012","32167","","5","0","9","2012","23","",""
"34620","2012","32170","","5","0","6","2012","23","",""
"34620","2012","32251","","5","0","3","2012","23","",""
"34620","2012","32259","","5","0","12","2012","23","",""
"34620","2012","72006","","5","0","14","2012","23","",""
"34620","2012","72008","","5","0","15","2012","23","",""
"34620","2012","72012","","5","0","13","2012","23","",""
"34669","2012","34670","","0","1","4","2012","","",""
"34669","2012","210902","","0","1","3","2012","","",""
"34670","2012","32173","","5","0","5","2012","23","",""
"34670","2012","32178","","4","0","8","2012","23","",""
"34670","2012","32197","","4","0","9","2012","23","",""
"34670","2012","32246","","4","0","12","2012","23","",""
"34670","2012","72010","","4","0","10","2012","23","",""
"34670","2012","72030","","5","0","7","2012","23","",""
"34670","2012","73520","","0","0","13","2012","","",""
"34681","2012","71966","","6","1","1","2012","23","",""
"42243","2012","40459","","2","0","1","2012","","",""
"42243","2012","40460","","2","0","2","2012","","",""
"42243","2012","40461","","2","0","3","2012","","",""
"45282","2012","45432","","0","1","1","2012","","",""
"45282","2012","45444","","0","0","5","2012","","",""
"45282","2012","48240","","0","1","2","2012","","",""
"45282","2012","48242","","0","0","6","2012","","",""
"45282","2012","49180","","0","1","3","2012","","",""
"45282","2012","49181","","0","0","7","2012","","",""
"45414","2012","45460","","0","0","2","2012","","",""
"45414","2012","45461","","0","1","1","2012","","",""
"45415","2012","2792","","3","0","1","2012","","",""
"45415","2012","2794","","4","0","2","2012","","",""
"45415","2012","2795","","4","0","3","2012","","",""
"45415","2012","2796","","3","0","5","2012","","",""
"45415","2012","2803","","3","0","6","2012","","",""
"45415","2012","27004","","3","0","4","2012","","",""
"45415","2012","47431","","0","1","7","2012","","",""
"45416","2012","45480","","0","1","1","2012","","",""
"45416","2012","45852","","0","0","3","2012","","",""
"45432","2012","2168","","5","1","1","2012","","",""
"45432","2012","3668","","5","1","6","2012","","",""
"45432","2012","46765","","2","1","3","2012","","",""
"45444","2012","3714","","5","0","4","2012","","",""
"45444","2012","26924","","5","0","10","2012","","",""
"45444","2012","26926","","5","0","11","2012","","",""
"45444","2012","26968","","5","0","7","2012","","",""
"45444","2012","38261","","5","0","8","2012","","",""
"45444","2012","44787","","5","0","13","2012","","",""
"45444","2012","44788","","5","0","12","2012","","",""
"45460","2012","2172","","5","0","1","2012","","",""
"45460","2012","37923","","5","0","2","2012","","",""
"45461","2012","38238","","5","0","3","2012","","",""
"45461","2012","38239","","5","0","4","2012","","",""
"45461","2012","38240","","5","0","5","2012","","",""
"45461","2012","38241","","5","0","6","2012","","",""
"45461","2012","38242","","5","0","7","2012","","",""
"45461","2012","38243","","5","0","8","2012","","",""
"45461","2012","38244","","5","0","9","2012","","",""
"45480","2012","38591","","5","1","2","2012","1","",""
"45480","2012","38592","","5","1","3","2012","2","",""
"45480","2012","47124","","5","1","4","2012","","",""
"45480","2012","47125","","0","1","5","2012","","",""
"45852","2012","38590","","5","1","1","2012","1","",""
"46300","2012","58157","","3","0","1","2012","","",""
"46300","2012","59291","","5","0","2","2012","","",""
"46300","2012","59292","","3","0","3","2012","","",""
"46300","2012","59293","","5","0","4","2012","","",""
"46300","2012","59294","","3","0","5","2012","","",""
"46300","2012","59295","","5","0","6","2012","","",""
"46300","2012","59296","","3","0","7","2012","","",""
"46300","2012","59297","","5","0","8","2012","","",""
"47260","2012","47261","","0","1","1","2012","","","The student shall select"
"47260","2012","47300","","0","1","2","2012","","","The student shall take all the specialization courses"
"47260","2012","47303","","0","1","3","2012","","",""
"47261","2012","42243","","0","1","2","2012","","","The student shall select"
"47261","2012","45848","","28","1","1","2012","2","",""
"47261","2012","47280","","0","1","3","2012","","","The student shall select 3 credits from amongst"
"47280","2012","26932","","3","0","1","2012","2","",""
"47280","2012","26933","","3","0","2","2012","2","",""
"47280","2012","26934","","3","0","3","2012","2","",""
"47280","2012","81608","","3","0","4","2012","2","",""
